Circles			Editing site 		
chr2L	12503135	12503136	chr2L	12503135	12503136
chr2L	12501464	12501465	chr2L	12501464	12501465
chr2L	12501462	12501463	chr2L	12501462	12501463
chr2L	12501466	12501467	chr2L	12501466	12501467
chr2L	12501908	12501909	chr2L	12501908	12501909
chr2L	2359848	2359849	chr2L	2359848	2359849
chr2L	14062529	14062530	chr2L	14062529	14062530
chr2L	21383395	21383396	chr2L	21383395	21383396
chr2L	21383375	21383376	chr2L	21383375	21383376
chr2L	21383403	21383404	chr2L	21383403	21383404
chr2L	21384087	21384088	chr2L	21384087	21384088
chr2L	21384068	21384069	chr2L	21384068	21384069
chr2L	21384107	21384108	chr2L	21384107	21384108
chr2L	21384066	21384067	chr2L	21384066	21384067
chr2L	21384067	21384068	chr2L	21384067	21384068
chr2L	21384071	21384072	chr2L	21384071	21384072
chr2L	21384065	21384066	chr2L	21384065	21384066
chr2L	21384100	21384101	chr2L	21384100	21384101
chr2L	21383353	21383354	chr2L	21383353	21383354
chr2L	21384076	21384077	chr2L	21384076	21384077
chr2L	21384098	21384099	chr2L	21384098	21384099
chr2L	21383360	21383361	chr2L	21383360	21383361
chr2L	9234315	9234316	chr2L	9234315	9234316
chr2L	9234363	9234364	chr2L	9234363	9234364
chr2L	5126786	5126787	chr2L	5126786	5126787
chr2L	1844499	1844500	chr2L	1844499	1844500
chr2L	4986770	4986771	chr2L	4986770	4986771
chr2L	4986257	4986258	chr2L	4986257	4986258
chr2L	4986891	4986892	chr2L	4986891	4986892
chr2L	4986611	4986612	chr2L	4986611	4986612
chr2L	4399741	4399742	chr2L	4399741	4399742
chr2L	3089899	3089900	chr2L	3089899	3089900
chr2L	3080774	3080775	chr2L	3080774	3080775
chr2L	3097986	3097987	chr2L	3097986	3097987
chr2L	9808577	9808578	chr2L	9808577	9808578
chr2L	9808443	9808444	chr2L	9808443	9808444
chr2L	9808576	9808577	chr2L	9808576	9808577
chr2L	9808444	9808445	chr2L	9808444	9808445
chr2L	9808442	9808443	chr2L	9808442	9808443
chr2L	9809297	9809298	chr2L	9809297	9809298
chr2L	9807941	9807942	chr2L	9807941	9807942
chr2L	9812118	9812119	chr2L	9812118	9812119
chr2L	9809349	9809350	chr2L	9809349	9809350
chr2L	9809365	9809366	chr2L	9809365	9809366
chr2L	9809350	9809351	chr2L	9809350	9809351
chr2L	9810071	9810072	chr2L	9810071	9810072
chr2L	9814564	9814565	chr2L	9814564	9814565
chr2L	9814574	9814575	chr2L	9814574	9814575
chr2L	9814572	9814573	chr2L	9814572	9814573
chr2L	9814356	9814357	chr2L	9814356	9814357
chr2L	9814580	9814581	chr2L	9814580	9814581
chr2L	9814581	9814582	chr2L	9814581	9814582
chr2L	9814785	9814786	chr2L	9814785	9814786
chr2L	14196162	14196163	chr2L	14196162	14196163
chr2L	227856	227857	chr2L	227856	227857
chr2L	229824	229825	chr2L	229824	229825
chr2L	15906134	15906135	chr2L	15906134	15906135
chr2L	227856	227857	chr2L	227856	227857
chr2L	21708767	21708768	chr2L	21708767	21708768
chr2L	21708768	21708769	chr2L	21708768	21708769
chr2L	21708495	21708496	chr2L	21708495	21708496
chr2L	21708464	21708465	chr2L	21708464	21708465
chr2L	21707291	21707292	chr2L	21707291	21707292
chr2L	21707169	21707170	chr2L	21707169	21707170
chr2L	21707292	21707293	chr2L	21707292	21707293
chr2L	21708759	21708760	chr2L	21708759	21708760
chr2L	21707179	21707180	chr2L	21707179	21707180
chr2L	21707178	21707179	chr2L	21707178	21707179
chr2L	21708737	21708738	chr2L	21708737	21708738
chr2L	21707180	21707181	chr2L	21707180	21707181
chr2L	21707166	21707167	chr2L	21707166	21707167
chr2L	21707163	21707164	chr2L	21707163	21707164
chr2L	21707293	21707294	chr2L	21707293	21707294
chr2L	21707168	21707169	chr2L	21707168	21707169
chr2L	21707165	21707166	chr2L	21707165	21707166
chr2L	21707280	21707281	chr2L	21707280	21707281
chr2L	21707267	21707268	chr2L	21707267	21707268
chr2L	21707167	21707168	chr2L	21707167	21707168
chr2L	21707183	21707184	chr2L	21707183	21707184
chr2L	21707308	21707309	chr2L	21707308	21707309
chr2L	21707181	21707182	chr2L	21707181	21707182
chr2L	21707147	21707148	chr2L	21707147	21707148
chr2L	21708520	21708521	chr2L	21708520	21708521
chr2L	21708713	21708714	chr2L	21708713	21708714
chr2L	21707182	21707183	chr2L	21707182	21707183
chr2L	21707161	21707162	chr2L	21707161	21707162
chr2L	21708526	21708527	chr2L	21708526	21708527
chr2L	21708525	21708526	chr2L	21708525	21708526
chr2L	21708750	21708751	chr2L	21708750	21708751
chr2L	21709736	21709737	chr2L	21709736	21709737
chr2L	21709791	21709792	chr2L	21709791	21709792
chr2L	21710142	21710143	chr2L	21710142	21710143
chr2L	21709729	21709730	chr2L	21709729	21709730
chr2L	21709887	21709888	chr2L	21709887	21709888
chr2L	21709757	21709758	chr2L	21709757	21709758
chr2L	21710082	21710083	chr2L	21710082	21710083
chr2L	21708910	21708911	chr2L	21708910	21708911
chr2L	21709751	21709752	chr2L	21709751	21709752
chr2L	21710075	21710076	chr2L	21710075	21710076
chr2L	21710150	21710151	chr2L	21710150	21710151
chr2L	21709706	21709707	chr2L	21709706	21709707
chr2L	21710084	21710085	chr2L	21710084	21710085
chr2L	21710149	21710150	chr2L	21710149	21710150
chr2L	21709842	21709843	chr2L	21709842	21709843
chr2L	21709875	21709876	chr2L	21709875	21709876
chr2L	21710001	21710002	chr2L	21710001	21710002
chr2L	21709795	21709796	chr2L	21709795	21709796
chr2L	21708919	21708920	chr2L	21708919	21708920
chr2L	21709716	21709717	chr2L	21709716	21709717
chr2L	21708869	21708870	chr2L	21708869	21708870
chr2L	21708863	21708864	chr2L	21708863	21708864
chr2L	21708857	21708858	chr2L	21708857	21708858
chr2L	21710181	21710182	chr2L	21710181	21710182
chr2L	21708849	21708850	chr2L	21708849	21708850
chr2L	21708856	21708857	chr2L	21708856	21708857
chr2L	21709893	21709894	chr2L	21709893	21709894
chr2L	12351900	12351901	chr2L	12351900	12351901
chr2L	7052664	7052665	chr2L	7052664	7052665
chr2L	7052677	7052678	chr2L	7052677	7052678
chr2L	4986770	4986771	chr2L	4986770	4986771
chr2L	4986257	4986258	chr2L	4986257	4986258
chr2L	4986891	4986892	chr2L	4986891	4986892
chr2L	4986611	4986612	chr2L	4986611	4986612
chr2L	1934013	1934014	chr2L	1934013	1934014
chr2L	2809526	2809527	chr2L	2809526	2809527
chr2L	5173944	5173945	chr2L	5173944	5173945
chr2L	5175564	5175565	chr2L	5175564	5175565
chr2L	5164694	5164695	chr2L	5164694	5164695
chr2L	5171582	5171583	chr2L	5171582	5171583
chr2L	5176212	5176213	chr2L	5176212	5176213
chr2L	5175888	5175889	chr2L	5175888	5175889
chr2L	5174268	5174269	chr2L	5174268	5174269
chr2L	5175240	5175241	chr2L	5175240	5175241
chr2L	5174916	5174917	chr2L	5174916	5174917
chr2L	5176860	5176861	chr2L	5176860	5176861
chr2L	5161436	5161437	chr2L	5161436	5161437
chr2L	5171885	5171886	chr2L	5171885	5171886
chr2L	5164703	5164704	chr2L	5164703	5164704
chr2L	5171820	5171821	chr2L	5171820	5171821
chr2L	5165103	5165104	chr2L	5165103	5165104
chr2L	5164718	5164719	chr2L	5164718	5164719
chr2L	5166903	5166904	chr2L	5166903	5166904
chr2L	5182718	5182719	chr2L	5182718	5182719
chr2L	5181809	5181810	chr2L	5181809	5181810
chr2L	5185155	5185156	chr2L	5185155	5185156
chr2L	5177508	5177509	chr2L	5177508	5177509
chr2L	5184550	5184551	chr2L	5184550	5184551
chr2L	5182956	5182957	chr2L	5182956	5182957
chr2L	5182047	5182048	chr2L	5182047	5182048
chr2L	5182653	5182654	chr2L	5182653	5182654
chr2L	5184236	5184237	chr2L	5184236	5184237
chr2L	336692	336693	chr2L	336692	336693
chr2L	21615958	21615959	chr2L	21615958	21615959
chr2L	14196162	14196163	chr2L	14196162	14196163
chr2L	16472830	16472831	chr2L	16472830	16472831
chr2L	3361215	3361216	chr2L	3361215	3361216
chr2L	6576893	6576894	chr2L	6576893	6576894
chr2L	336692	336693	chr2L	336692	336693
chr2L	5191626	5191627	chr2L	5191626	5191627
chr2L	2945651	2945652	chr2L	2945651	2945652
chr2L	21722057	21722058	chr2L	21722057	21722058
chr2L	21721307	21721308	chr2L	21721307	21721308
chr2L	8178242	8178243	chr2L	8178242	8178243
chr2L	8178183	8178184	chr2L	8178183	8178184
chr2L	8177946	8177947	chr2L	8177946	8177947
chr2L	8177947	8177948	chr2L	8177947	8177948
chr2L	1844499	1844500	chr2L	1844499	1844500
chr2L	1653716	1653717	chr2L	1653716	1653717
chr2L	15651359	15651360	chr2L	15651359	15651360
chr2L	2785542	2785543	chr2L	2785542	2785543
chr2L	2785610	2785611	chr2L	2785610	2785611
chr2L	2785621	2785622	chr2L	2785621	2785622
chr2L	2786034	2786035	chr2L	2786034	2786035
chr2L	12498711	12498712	chr2L	12498711	12498712
chr2L	12498708	12498709	chr2L	12498708	12498709
chr2L	12502230	12502231	chr2L	12502230	12502231
chr2L	12501470	12501471	chr2L	12501470	12501471
chr2L	12503135	12503136	chr2L	12503135	12503136
chr2L	12501464	12501465	chr2L	12501464	12501465
chr2L	12501462	12501463	chr2L	12501462	12501463
chr2L	12501466	12501467	chr2L	12501466	12501467
chr2L	12501908	12501909	chr2L	12501908	12501909
chr2L	11835155	11835156	chr2L	11835155	11835156
chr2L	3127265	3127266	chr2L	3127265	3127266
chr2L	3124533	3124534	chr2L	3124533	3124534
chr2L	227856	227857	chr2L	227856	227857
chr2L	3089899	3089900	chr2L	3089899	3089900
chr2L	3080774	3080775	chr2L	3080774	3080775
chr2L	3097986	3097987	chr2L	3097986	3097987
chr2L	14196162	14196163	chr2L	14196162	14196163
chr2L	227856	227857	chr2L	227856	227857
chr2L	16247535	16247536	chr2L	16247535	16247536
chr2L	16248164	16248165	chr2L	16248164	16248165
chr2L	16248172	16248173	chr2L	16248172	16248173
chr2L	5321661	5321662	chr2L	5321661	5321662
chr2L	21709736	21709737	chr2L	21709736	21709737
chr2L	21709791	21709792	chr2L	21709791	21709792
chr2L	21710142	21710143	chr2L	21710142	21710143
chr2L	21709729	21709730	chr2L	21709729	21709730
chr2L	21709887	21709888	chr2L	21709887	21709888
chr2L	21709757	21709758	chr2L	21709757	21709758
chr2L	21710082	21710083	chr2L	21710082	21710083
chr2L	21709751	21709752	chr2L	21709751	21709752
chr2L	21710075	21710076	chr2L	21710075	21710076
chr2L	21710150	21710151	chr2L	21710150	21710151
chr2L	21709706	21709707	chr2L	21709706	21709707
chr2L	21710084	21710085	chr2L	21710084	21710085
chr2L	21710149	21710150	chr2L	21710149	21710150
chr2L	21709842	21709843	chr2L	21709842	21709843
chr2L	21709875	21709876	chr2L	21709875	21709876
chr2L	21710001	21710002	chr2L	21710001	21710002
chr2L	21709795	21709796	chr2L	21709795	21709796
chr2L	21709716	21709717	chr2L	21709716	21709717
chr2L	21710181	21710182	chr2L	21710181	21710182
chr2L	21709893	21709894	chr2L	21709893	21709894
chr2L	4306987	4306988	chr2L	4306987	4306988
chr2L	4305020	4305021	chr2L	4305020	4305021
chr2L	4308806	4308807	chr2L	4308806	4308807
chr2L	4312814	4312815	chr2L	4312814	4312815
chr2L	4311269	4311270	chr2L	4311269	4311270
chr2L	4312802	4312803	chr2L	4312802	4312803
chr2L	4310827	4310828	chr2L	4310827	4310828
chr2L	4311270	4311271	chr2L	4311270	4311271
chr2L	4310833	4310834	chr2L	4310833	4310834
chr2L	4314586	4314587	chr2L	4314586	4314587
chr2L	4314575	4314576	chr2L	4314575	4314576
chr2L	4314576	4314577	chr2L	4314576	4314577
chr2L	4310609	4310610	chr2L	4310609	4310610
chr2L	4310842	4310843	chr2L	4310842	4310843
chr2L	4310879	4310880	chr2L	4310879	4310880
chr2L	4399741	4399742	chr2L	4399741	4399742
chr2L	21127690	21127691	chr2L	21127690	21127691
chr2L	14077162	14077163	chr2L	14077162	14077163
chr2L	14077178	14077179	chr2L	14077178	14077179
chr2L	19642585	19642586	chr2L	19642585	19642586
chr2L	4306987	4306988	chr2L	4306987	4306988
chr2L	4305020	4305021	chr2L	4305020	4305021
chr2L	12351900	12351901	chr2L	12351900	12351901
chr2L	8178242	8178243	chr2L	8178242	8178243
chr2L	8178183	8178184	chr2L	8178183	8178184
chr2L	8177946	8177947	chr2L	8177946	8177947
chr2L	8177947	8177948	chr2L	8177947	8177948
chr2L	1934013	1934014	chr2L	1934013	1934014
chr2L	5191626	5191627	chr2L	5191626	5191627
chr2L	2995807	2995808	chr2L	2995807	2995808
chr2L	3067533	3067534	chr2L	3067533	3067534
chr2L	1653716	1653717	chr2L	1653716	1653717
chr2L	14062529	14062530	chr2L	14062529	14062530
chr2L	14082057	14082058	chr2L	14082057	14082058
chr2L	14086408	14086409	chr2L	14086408	14086409
chr2L	14086533	14086534	chr2L	14086533	14086534
chr2L	14077771	14077772	chr2L	14077771	14077772
chr2L	14078936	14078937	chr2L	14078936	14078937
chr2L	14086646	14086647	chr2L	14086646	14086647
chr2L	14082413	14082414	chr2L	14082413	14082414
chr2L	14077774	14077775	chr2L	14077774	14077775
chr2L	14077772	14077773	chr2L	14077772	14077773
chr2L	14086409	14086410	chr2L	14086409	14086410
chr2L	14077162	14077163	chr2L	14077162	14077163
chr2L	14083517	14083518	chr2L	14083517	14083518
chr2L	14083516	14083517	chr2L	14083516	14083517
chr2L	14081991	14081992	chr2L	14081991	14081992
chr2L	14077178	14077179	chr2L	14077178	14077179
chr2L	14077277	14077278	chr2L	14077277	14077278
chr2L	21123721	21123722	chr2L	21123721	21123722
chr2L	21123710	21123711	chr2L	21123710	21123711
chr2L	21123664	21123665	chr2L	21123664	21123665
chr2L	21127690	21127691	chr2L	21127690	21127691
chr2L	21122992	21122993	chr2L	21122992	21122993
chr2L	5191626	5191627	chr2L	5191626	5191627
chr2L	17395909	17395910	chr2L	17395909	17395910
chr2L	2784359	2784360	chr2L	2784359	2784360
chr2L	2785542	2785543	chr2L	2785542	2785543
chr2L	2785610	2785611	chr2L	2785610	2785611
chr2L	2785621	2785622	chr2L	2785621	2785622
chr2L	2786034	2786035	chr2L	2786034	2786035
chr2L	2772447	2772448	chr2L	2772447	2772448
chr2L	3089899	3089900	chr2L	3089899	3089900
chr2L	9877206	9877207	chr2L	9877206	9877207
chr2L	10919115	10919116	chr2L	10919115	10919116
chr2L	9726962	9726963	chr2L	9726962	9726963
chr2L	9723942	9723943	chr2L	9723942	9723943
chr2L	9723943	9723944	chr2L	9723943	9723944
chr2L	9724082	9724083	chr2L	9724082	9724083
chr2L	9724823	9724824	chr2L	9724823	9724824
chr2L	9725128	9725129	chr2L	9725128	9725129
chr2L	9726963	9726964	chr2L	9726963	9726964
chr2L	12498711	12498712	chr2L	12498711	12498712
chr2L	12498708	12498709	chr2L	12498708	12498709
chr2L	12502230	12502231	chr2L	12502230	12502231
chr2L	12501470	12501471	chr2L	12501470	12501471
chr2L	12503135	12503136	chr2L	12503135	12503136
chr2L	12501464	12501465	chr2L	12501464	12501465
chr2L	12501462	12501463	chr2L	12501462	12501463
chr2L	12501466	12501467	chr2L	12501466	12501467
chr2L	12501908	12501909	chr2L	12501908	12501909
chr2L	7481273	7481274	chr2L	7481273	7481274
chr2L	7477287	7477288	chr2L	7477287	7477288
chr2L	7482603	7482604	chr2L	7482603	7482604
chr2L	3097986	3097987	chr2L	3097986	3097987
chr2L	9731841	9731842	chr2L	9731841	9731842
chr2L	9732445	9732446	chr2L	9732445	9732446
chr2L	9733349	9733350	chr2L	9733349	9733350
chr2L	9733501	9733502	chr2L	9733501	9733502
chr2L	9732449	9732450	chr2L	9732449	9732450
chr2L	9732617	9732618	chr2L	9732617	9732618
chr2L	4192659	4192660	chr2L	4192659	4192660
chr2L	1159203	1159204	chr2L	1159203	1159204
chr2L	1159062	1159063	chr2L	1159062	1159063
chr2L	8224281	8224282	chr2L	8224281	8224282
chr2L	8225347	8225348	chr2L	8225347	8225348
chr2L	16247535	16247536	chr2L	16247535	16247536
chr2L	16248164	16248165	chr2L	16248164	16248165
chr2L	16248172	16248173	chr2L	16248172	16248173
chr2L	3089899	3089900	chr2L	3089899	3089900
chr2L	3097986	3097987	chr2L	3097986	3097987
chr2L	20872840	20872841	chr2L	20872840	20872841
chr2L	20872840	20872841	chr2L	20872840	20872841
chr2L	4192659	4192660	chr2L	4192659	4192660
chr2L	19403563	19403564	chr2L	19403563	19403564
chr2L	19403564	19403565	chr2L	19403564	19403565
chr2L	19403563	19403564	chr2L	19403563	19403564
chr2L	19403564	19403565	chr2L	19403564	19403565
chr2L	10838467	10838468	chr2L	10838467	10838468
chr2L	21383395	21383396	chr2L	21383395	21383396
chr2L	21383375	21383376	chr2L	21383375	21383376
chr2L	21383403	21383404	chr2L	21383403	21383404
chr2L	21384087	21384088	chr2L	21384087	21384088
chr2L	21384068	21384069	chr2L	21384068	21384069
chr2L	21384107	21384108	chr2L	21384107	21384108
chr2L	21384066	21384067	chr2L	21384066	21384067
chr2L	21384067	21384068	chr2L	21384067	21384068
chr2L	21384071	21384072	chr2L	21384071	21384072
chr2L	21384065	21384066	chr2L	21384065	21384066
chr2L	21384100	21384101	chr2L	21384100	21384101
chr2L	21383353	21383354	chr2L	21383353	21383354
chr2L	21384076	21384077	chr2L	21384076	21384077
chr2L	21384098	21384099	chr2L	21384098	21384099
chr2L	21383360	21383361	chr2L	21383360	21383361
chr2L	21127690	21127691	chr2L	21127690	21127691
chr2L	20346120	20346121	chr2L	20346120	20346121
chr2L	21636563	21636564	chr2L	21636563	21636564
chr2L	21637502	21637503	chr2L	21637502	21637503
chr2L	21637494	21637495	chr2L	21637494	21637495
chr2L	21637496	21637497	chr2L	21637496	21637497
chr2L	336692	336693	chr2L	336692	336693
chr2L	4306987	4306988	chr2L	4306987	4306988
chr2L	4305020	4305021	chr2L	4305020	4305021
chr2L	4399741	4399742	chr2L	4399741	4399742
chr2L	3067533	3067534	chr2L	3067533	3067534
chr2L	14077771	14077772	chr2L	14077771	14077772
chr2L	14078936	14078937	chr2L	14078936	14078937
chr2L	14077774	14077775	chr2L	14077774	14077775
chr2L	14077772	14077773	chr2L	14077772	14077773
chr2L	14077162	14077163	chr2L	14077162	14077163
chr2L	14077178	14077179	chr2L	14077178	14077179
chr2L	14077277	14077278	chr2L	14077277	14077278
chr2L	21127690	21127691	chr2L	21127690	21127691
chr2L	21708767	21708768	chr2L	21708767	21708768
chr2L	21708768	21708769	chr2L	21708768	21708769
chr2L	21708495	21708496	chr2L	21708495	21708496
chr2L	21708464	21708465	chr2L	21708464	21708465
chr2L	21707291	21707292	chr2L	21707291	21707292
chr2L	21707169	21707170	chr2L	21707169	21707170
chr2L	21707292	21707293	chr2L	21707292	21707293
chr2L	21708759	21708760	chr2L	21708759	21708760
chr2L	21707179	21707180	chr2L	21707179	21707180
chr2L	21707178	21707179	chr2L	21707178	21707179
chr2L	21708737	21708738	chr2L	21708737	21708738
chr2L	21707180	21707181	chr2L	21707180	21707181
chr2L	21707166	21707167	chr2L	21707166	21707167
chr2L	21707163	21707164	chr2L	21707163	21707164
chr2L	21707293	21707294	chr2L	21707293	21707294
chr2L	21707168	21707169	chr2L	21707168	21707169
chr2L	21707165	21707166	chr2L	21707165	21707166
chr2L	21707280	21707281	chr2L	21707280	21707281
chr2L	21707267	21707268	chr2L	21707267	21707268
chr2L	21707167	21707168	chr2L	21707167	21707168
chr2L	21707183	21707184	chr2L	21707183	21707184
chr2L	21707308	21707309	chr2L	21707308	21707309
chr2L	21707181	21707182	chr2L	21707181	21707182
chr2L	21707147	21707148	chr2L	21707147	21707148
chr2L	21708520	21708521	chr2L	21708520	21708521
chr2L	21708713	21708714	chr2L	21708713	21708714
chr2L	21707182	21707183	chr2L	21707182	21707183
chr2L	21707161	21707162	chr2L	21707161	21707162
chr2L	21708526	21708527	chr2L	21708526	21708527
chr2L	21708525	21708526	chr2L	21708525	21708526
chr2L	21708750	21708751	chr2L	21708750	21708751
chr2L	21709736	21709737	chr2L	21709736	21709737
chr2L	21709791	21709792	chr2L	21709791	21709792
chr2L	21710142	21710143	chr2L	21710142	21710143
chr2L	21709729	21709730	chr2L	21709729	21709730
chr2L	21709887	21709888	chr2L	21709887	21709888
chr2L	21709757	21709758	chr2L	21709757	21709758
chr2L	21710082	21710083	chr2L	21710082	21710083
chr2L	21708910	21708911	chr2L	21708910	21708911
chr2L	21709751	21709752	chr2L	21709751	21709752
chr2L	21710075	21710076	chr2L	21710075	21710076
chr2L	21710150	21710151	chr2L	21710150	21710151
chr2L	21709706	21709707	chr2L	21709706	21709707
chr2L	21710084	21710085	chr2L	21710084	21710085
chr2L	21710149	21710150	chr2L	21710149	21710150
chr2L	21709842	21709843	chr2L	21709842	21709843
chr2L	21709875	21709876	chr2L	21709875	21709876
chr2L	21710001	21710002	chr2L	21710001	21710002
chr2L	21709795	21709796	chr2L	21709795	21709796
chr2L	21708919	21708920	chr2L	21708919	21708920
chr2L	21709716	21709717	chr2L	21709716	21709717
chr2L	21708869	21708870	chr2L	21708869	21708870
chr2L	21708863	21708864	chr2L	21708863	21708864
chr2L	21708857	21708858	chr2L	21708857	21708858
chr2L	21710181	21710182	chr2L	21710181	21710182
chr2L	21708849	21708850	chr2L	21708849	21708850
chr2L	21708856	21708857	chr2L	21708856	21708857
chr2L	21709893	21709894	chr2L	21709893	21709894
chr2L	5206237	5206238	chr2L	5206237	5206238
chr2L	5206234	5206235	chr2L	5206234	5206235
chr2L	5206233	5206234	chr2L	5206233	5206234
chr2L	21722057	21722058	chr2L	21722057	21722058
chr2L	21721307	21721308	chr2L	21721307	21721308
chr2L	13550541	13550542	chr2L	13550541	13550542
chr2L	13550508	13550509	chr2L	13550508	13550509
chr2L	13550533	13550534	chr2L	13550533	13550534
chr2L	13550505	13550506	chr2L	13550505	13550506
chr2L	21280820	21280821	chr2L	21280820	21280821
chr2L	21280821	21280822	chr2L	21280821	21280822
